fips,state_votes,state_po,county_votes,trump_share,trumpvotes,totalvotes,county_income,income_per_capita,county_college,percent_college,county_demographics,percent_male,percent_black,percent_hispanic,population,percent_under_5,percent_5_9,percent_10_14,percent_15_19,percent_20_24,percent_25_34,percent_35_44,percent_45_54,percent_55_59,percent_60_64,percent_65_74,percent_75_84,percent_85_over,percent_14_under,percent_15_24,percent_55_64,percent_75_over,county_industry,percent_retail,percent_transportation,percent_hes,county_rural,pop_rural,total_pop,percent_rural,pop_with_char,county_rural_housing,housing_rural,total_housing,percent_housing_rural,housing_with_char
1021,Alabama,AL,Chilton,0.8210027764167892,15081,18369,"Chilton County, Alabama",24611,"Chilton County, Alabama",14.2,"Chilton County, Alabama",49.3,10.8,7.8,43930,6.3,7.1,6.5,6.4,5.9,13.3,12.8,12.9,6.9,6.2,9.4,5,1.4,19.9,12.3,13.100000000000001,6.4,"Chilton County, Alabama",11.8,6.5,15.8,"Chilton County, Alabama",37858,43643,0.8674472423985519,FALSE,"Chilton County, Alabama",16739,19278,0.868295466334682,FALSE
1023,Alabama,AL,Choctaw,0.5630828304991772,4106,7292,"Choctaw County, Alabama",22182,"Choctaw County, Alabama",13,"Choctaw County, Alabama",47.8,42.9,0.6,13075,5.1,5.4,5.8,6.2,5.3,10.1,11.1,13.8,8.2,6.9,12.6,7.2,2.3,16.3,11.5,15.1,9.5,"Choctaw County, Alabama",14.6,4.6,23.9,"Choctaw County, Alabama",13859,13859,1,FALSE,"Choctaw County, Alabama",7269,7269,1,FALSE
1025,Alabama,AL,Clarke,0.5479241807996317,7140,13031,"Clarke County, Alabama",21111,"Clarke County, Alabama",12.6,"Clarke County, Alabama",47.3,46.2,0.2,24387,5.6,5.6,6.5,6.6,6.5,10.6,12,13.6,8,6,10.6,6.5,1.9,17.7,13.1,14,8.4,"Clarke County, Alabama",12.4,6.5,18.4,"Clarke County, Alabama",19628,25833,0.75980335230132,FALSE,"Clarke County, Alabama",9701,12638,0.7676056338028169,FALSE
1027,Alabama,AL,Clay,0.7918176328502415,5245,6624,"Clay County, Alabama",23147,"Clay County, Alabama",10.2,"Clay County, Alabama",48.3,15.2,3.1,13378,5,4.9,7.5,6.7,6.6,8.9,12.4,13.6,8.4,6.2,11.5,6.4,1.9,17.4,13.3,14.600000000000001,8.3,"Clay County, Alabama",11.1,4.9,20.4,"Clay County, Alabama",13932,13932,1,FALSE,"Clay County, Alabama",6776,6776,1,FALSE
1029,Alabama,AL,Cleburne,0.8742605794023964,5764,6593,"Cleburne County, Alabama",21989,"Cleburne County, Alabama",13.7,"Cleburne County, Alabama",48.7,4.1,2.4,14938,5.5,7.1,6.4,6,5.1,11.4,12.2,14.1,6.5,6.9,10.8,5.2,2.8,19,11.1,13.4,8,"Cleburne County, Alabama",13.5,6.5,19.3,"Cleburne County, Alabama",14972,14972,1,FALSE,"Cleburne County, Alabama",6718,6718,1,FALSE
1031,Alabama,AL,Coffee,0.7644339577213849,15875,20767,"Coffee County, Alabama",27577,"Coffee County, Alabama",23.4,"Coffee County, Alabama",49.4,18.5,6.9,51288,6.2,6.3,7,6.4,6,12.6,13.2,13.3,6.9,5.7,9.5,5.1,1.8,19.5,12.4,12.600000000000001,6.8999999999999995,"Coffee County, Alabama",11,8.3,22.8,"Coffee County, Alabama",23573,49948,0.4719508288620165,FALSE,"Coffee County, Alabama",10775,22330,0.4825347066726377,FALSE
1033,Alabama,AL,Colbert,0.6721252257676099,16746,24915,"Colbert County, Alabama",24918,"Colbert County, Alabama",18.7,"Colbert County, Alabama",47.8,17,2.5,54495,5.7,6,5.9,5.8,5.8,11.9,12,13.6,7,7.1,11,6,2.2,17.6,11.6,14.1,8.2,"Colbert County, Alabama",13,5.8,20.9,"Colbert County, Alabama",23891,54428,0.4389468655838906,FALSE,"Colbert County, Alabama",11299,25758,0.4386598338380309,FALSE
1035,Alabama,AL,Conecuh,0.5193621867881549,3420,6585,"Conecuh County, Alabama",17542,"Conecuh County, Alabama",10.7,"Conecuh County, Alabama",48.2,47.9,0.8,12514,5.7,7.1,4.6,7,4.9,10.3,10.8,12.8,8.6,6.6,13.1,6.1,2.5,17.4,11.9,15.2,8.6,"Conecuh County, Alabama",16.4,8.1,16.8,"Conecuh County, Alabama",10708,13228,0.8094950105836105,FALSE,"Conecuh County, Alabama",5880,7093,0.8289863245453264,FALSE
1037,Alabama,AL,Coosa,0.6437547600913938,3381,5252,"Coosa County, Alabama",22963,"Coosa County, Alabama",11.6,"Coosa County, Alabama",50.7,34.2,0.5,10855,3.2,4,6.7,5.1,5.3,10.7,11.6,14.2,10.2,7.3,12.4,7.5,1.9,13.9,10.399999999999999,17.5,9.4,"Coosa County, Alabama",8.6,10.7,18.1,"Coosa County, Alabama",11539,11539,1,FALSE,"Coosa County, Alabama",6478,6478,1,FALSE
1039,Alabama,AL,Covington,0.8323086574654956,13267,15940,"Covington County, Alabama",23071,"Covington County, Alabama",14.9,"Covington County, Alabama",48.7,13.4,1.6,37351,5.7,6.7,5.7,5.6,5.5,11.5,11,13.1,7.1,7.7,11.3,6.8,2.3,18.1,11.1,14.8,9.1,"Covington County, Alabama",11.3,9.8,18.6,"Covington County, Alabama",26304,37765,0.6965179398914338,FALSE,"Covington County, Alabama",13290,18829,0.705826119284083,FALSE
1041,Alabama,AL,Crenshaw,0.720121270145205,4513,6267,"Crenshaw County, Alabama",23353,"Crenshaw County, Alabama",15.6,"Crenshaw County, Alabama",49.1,24.9,2,13865,5.7,6.3,6.7,6.2,5.4,11.3,12.6,13.2,7.7,6.7,11.1,5,2.2,18.7,11.600000000000001,14.4,7.2,"Crenshaw County, Alabama",11.7,5.7,20.2,"Crenshaw County, Alabama",13906,13906,1,FALSE,"Crenshaw County, Alabama",6735,6735,1,FALSE
1043,Alabama,AL,Cullman,0.8710426953238455,32989,37873,"Cullman County, Alabama",22980,"Cullman County, Alabama",13.7,"Cullman County, Alabama",49.3,1.7,4.3,82313,6,5.8,6.8,6.1,5.8,12.4,12.4,13.4,6.9,6.5,10.6,6,1.3,18.6,11.899999999999999,13.4,7.3,"Cullman County, Alabama",14,5.8,20.1,"Cullman County, Alabama",58889,80406,0.7323955923687288,FALSE,"Cullman County, Alabama",27065,37054,0.7304204674259189,FALSE
1045,Alabama,AL,Dale,0.7364659448503921,13808,18749,"Dale County, Alabama",23837,"Dale County, Alabama",17,"Dale County, Alabama",49.2,21.6,6.2,49255,6.6,6.4,6.4,6.1,6.7,14.5,11.8,12.5,7.4,5.5,9.3,5.1,1.8,19.4,12.8,12.9,6.8999999999999995,"Dale County, Alabama",16.6,10.2,17.4,"Dale County, Alabama",25572,50251,0.5088853953155161,FALSE,"Dale County, Alabama",11619,22677,0.5123693610265908,FALSE
1047,Alabama,AL,Dallas,0.308056619838229,5789,18792,"Dallas County, Alabama",18910,"Dallas County, Alabama",15.1,"Dallas County, Alabama",46.1,70.8,1,40029,6.2,7.1,6.7,7.3,6.3,11.7,11.1,12.3,7.7,6.9,10,5.5,1.3,20,13.6,14.600000000000001,6.8,"Dallas County, Alabama",10.7,4.8,22.7,"Dallas County, Alabama",19999,43820,0.45638977635782746,FALSE,"Dallas County, Alabama",9462,20208,0.46823040380047504,FALSE
1049,Alabama,AL,DeKalb,0.8288159219391311,21405,25826,"DeKalb County, Alabama",21004,"DeKalb County, Alabama",12.7,"DeKalb County, Alabama",49.6,2,14.4,71200,6,6.9,7.2,6.7,5.9,12.1,12.7,13.2,6.9,6.1,9.9,5,1.5,20.1,12.600000000000001,13,6.5,"DeKalb County, Alabama",12.5,6.4,16.7,"DeKalb County, Alabama",64091,71109,0.901306445035087,FALSE,"DeKalb County, Alabama",28282,31109,0.9091259764055418,FALSE
1051,Alabama,AL,Elmore,0.7416532474503489,27634,37260,"Elmore County, Alabama",27475,"Elmore County, Alabama",24.5,"Elmore County, Alabama",48.6,22.2,2.9,81212,5.8,5.9,6.7,6.5,6.5,13.7,13.7,13.9,7.1,5.7,9,4.1,1.4,18.4,13,12.8,5.5,"Elmore County, Alabama",12.1,4.7,20.1,"Elmore County, Alabama",42973,79303,0.541883661399947,FALSE,"Elmore County, Alabama",19546,32657,0.5985240530361026,FALSE
1053,Alabama,AL,Escambia,0.6692489053553385,9935,14845,"Escambia County, Alabama",18161,"Escambia County, Alabama",12.7,"Escambia County, Alabama",51.1,32.6,2.2,37328,5.7,6.1,6.7,5.9,6,13.3,12.9,13.1,6.6,6.3,10,5.6,1.8,18.5,11.9,12.899999999999999,7.3999999999999995,"Escambia County, Alabama",11.5,6.3,19.8,"Escambia County, Alabama",24337,38319,0.635115738928469,FALSE,"Escambia County, Alabama",9820,16486,0.5956569210238991,FALSE
1055,Alabama,AL,Etowah,0.7325649850557014,32353,44164,"Etowah County, Alabama",24065,"Etowah County, Alabama",17.7,"Etowah County, Alabama",48.2,16.6,3.8,102939,5.6,6,6,6.3,6.1,11.7,12.6,13.6,7,6.6,10.9,5.6,1.9,17.6,12.399999999999999,13.6,7.5,"Etowah County, Alabama",11.8,4.6,23.3,"Etowah County, Alabama",39144,104430,0.37483481758115483,FALSE,"Etowah County, Alabama",17045,47454,0.3591899523749315,FALSE
1057,Alabama,AL,Fayette,0.813674384773912,6712,8249,"Fayette County, Alabama",21862,"Fayette County, Alabama",12.9,"Fayette County, Alabama",49.3,13.9,1.7,16585,5.6,5.5,6.2,6.5,5.5,11.5,11.3,13.1,6.8,7.5,12.1,6.1,2.2,17.3,12,14.3,8.3,"Fayette County, Alabama",12.6,7.4,24.6,"Fayette County, Alabama",13833,17241,0.8023316512963286,FALSE,"Fayette County, Alabama",6846,8437,0.8114258622733199,FALSE
1059,Alabama,AL,Franklin,0.7862126245847176,9466,12040,"Franklin County, Alabama",19776,"Franklin County, Alabama",12.9,"Franklin County, Alabama",49.5,4.8,16.9,31542,6.9,5.9,7.7,6.4,7.2,12.7,12.6,12.8,5.3,6.5,9.4,5,1.8,20.5,13.600000000000001,11.8,6.8,"Franklin County, Alabama",9.1,4.4,18.1,"Franklin County, Alabama",22309,31704,0.7036651526621247,FALSE,"Franklin County, Alabama",10264,14022,0.7319925830837256,FALSE
1061,Alabama,AL,Geneva,0.8499744854567103,9994,11758,"Geneva County, Alabama",20471,"Geneva County, Alabama",11.1,"Geneva County, Alabama",49,10.5,3.9,26491,5.5,6.4,6.3,6.3,5.3,11.2,11.8,13.6,7.7,6.4,11.3,6.5,1.7,18.2,11.6,14.100000000000001,8.2,"Geneva County, Alabama",10.2,7.3,21.1,"Geneva County, Alabama",24015,26790,0.8964165733482643,FALSE,"Geneva County, Alabama",11387,12687,0.8975329077007961,FALSE
1063,Alabama,AL,Greene,0.17172131147540984,838,4880,"Greene County, Alabama",14209,"Greene County, Alabama",10.1,"Greene County, Alabama",46.9,81.8,1.7,8426,5.8,6.4,5.8,5.9,6.9,11.9,9.1,11.8,8.2,7.8,11.3,6.6,2.4,18,12.8,16,9,"Greene County, Alabama",8.5,2.1,25.3,"Greene County, Alabama",9045,9045,1,FALSE,"Greene County, Alabama",5007,5007,1,FALSE
1065,Alabama,AL,Hale,0.39465174129353237,3173,8040,"Hale County, Alabama",20272,"Hale County, Alabama",14.1,"Hale County, Alabama",47.1,59,0.9,14887,6.5,6,6.6,7.6,5.7,11.3,10.9,12.7,6.5,7.9,10.6,5.4,2.3,19.1,13.3,14.4,7.7,"Hale County, Alabama",11.6,3.8,23.8,"Hale County, Alabama",14053,15760,0.8916878172588832,FALSE,"Hale County, Alabama",6929,7655,0.9051600261267145,FALSE
1067,Alabama,AL,Henry,0.6977205153617443,5632,8072,"Henry County, Alabama",24069,"Henry County, Alabama",18,"Henry County, Alabama",48.1,28,2.6,17124,5.4,4.8,6.9,5.9,5.9,9.6,12.5,13,7.6,6.7,13.1,5.9,2.6,17.1,11.8,14.3,8.5,"Henry County, Alabama",11.9,11.7,23.8,"Henry County, Alabama",15183,17302,0.8775286094093169,FALSE,"Henry County, Alabama",7916,8891,0.8903385445956585,FALSE
1069,Alabama,AL,Houston,0.7206547995966134,30728,42639,"Houston County, Alabama",25990,"Houston County, Alabama",21,"Houston County, Alabama",47.9,27.9,3.3,104352,6.1,6.4,6.7,6.2,5.9,13,12.5,13.2,7.1,6.1,9.9,5.2,1.8,19.2,12.100000000000001,13.2,7,"Houston County, Alabama",14.5,7.8,23.8,"Houston County, Alabama",34327,101547,0.33804051325986983,FALSE,"Houston County, Alabama",15403,45319,0.3398795207308193,FALSE
1071,Alabama,AL,Jackson,0.79451010293557,16672,20984,"Jackson County, Alabama",21608,"Jackson County, Alabama",14.2,"Jackson County, Alabama",49,3.9,2.9,52094,5.4,6.2,6,5.8,5.2,11.5,12.4,13.7,7.7,6.9,11.4,5.8,1.9,17.6,11,14.600000000000001,7.699999999999999,"Jackson County, Alabama",12.8,5.3,19.4,"Jackson County, Alabama",40994,53227,0.770173032483514,FALSE,"Jackson County, Alabama",18961,24786,0.7649882998466876,FALSE
1073,Alabama,AL,Jefferson,0.4430374337176314,134768,304191,"Jefferson County, Alabama",30657,"Jefferson County, Alabama",32.4,"Jefferson County, Alabama",47.3,43.6,3.8,659892,6.4,6.5,6.2,6.3,6.5,14.4,12.7,12.6,6.9,6.4,8.7,4.4,1.9,19.1,12.8,13.3,6.300000000000001,"Jefferson County, Alabama",10.8,5.5,25.4,"Jefferson County, Alabama",64752,658466,0.0983376514504925,TRUE,"Jefferson County, Alabama",27035,300552,0.08995115653863557,TRUE
1075,Alabama,AL,Lamar,0.8359173126614987,5823,6966,"Lamar County, Alabama",21666,"Lamar County, Alabama",12.5,"Lamar County, Alabama",48.8,11.5,1.6,13933,5,6.3,6.7,6.2,4.7,10.6,11.2,13.5,7.6,7,11.3,7.3,2.5,18,10.9,14.6,9.8,"Lamar County, Alabama",7.7,6.7,18.2,"Lamar County, Alabama",14564,14564,1,FALSE,"Lamar County, Alabama",7354,7354,1,FALSE
1077,Alabama,AL,Lauderdale,0.7058570524984187,27899,39525,"Lauderdale County, Alabama",27189,"Lauderdale County, Alabama",23.9,"Lauderdale County, Alabama",47.9,10.9,2.6,92585,5.1,6,5.2,6.6,8.5,11.8,11.1,12.8,6.7,6.8,11,5.9,2.4,16.3,15.1,13.5,8.3,"Lauderdale County, Alabama",13.6,6.3,22.7,"Lauderdale County, Alabama",45701,92709,0.492951061924948,FALSE,"Lauderdale County, Alabama",21005,43791,0.4796647713000388,FALSE
1079,Alabama,AL,Lawrence,0.730528019421404,10833,14829,"Lawrence County, Alabama",23557,"Lawrence County, Alabama",11.7,"Lawrence County, Alabama",48.2,11.7,2.1,33171,5.6,6.1,6.6,5.9,5.3,12,12.1,14.6,7.7,6.7,10.8,5,1.6,18.299999999999997,11.2,14.4,6.6,"Lawrence County, Alabama",9.3,7.6,19.2,"Lawrence County, Alabama",31348,34339,0.9128978712251375,FALSE,"Lawrence County, Alabama",13816,15229,0.9072164948453608,FALSE
1081,Alabama,AL,Lee,0.5848355324289165,34617,59191,"Lee County, Alabama",26960,"Lee County, Alabama",34.1,"Lee County, Alabama",49.2,24,3.7,159287,5.9,5.6,6.4,8.4,14.1,14.4,12.1,11.7,5.3,5,7,3.2,1,17.9,22.5,10.3,4.2,"Lee County, Alabama",11.3,4.4,28.6,"Lee County, Alabama",38441,140247,0.27409498955414374,TRUE,"Lee County, Alabama",16917,62391,0.2711448766649036,TRUE
1083,Alabama,AL,Limestone,0.7213729091179828,29067,40294,"Limestone County, Alabama",27699,"Limestone County, Alabama",25.5,"Limestone County, Alabama",49.9,14.2,5.9,93052,5.6,5.8,7.2,6.8,5.5,12.9,13.7,14.9,7.1,5.7,8.9,4.3,1.5,18.599999999999998,12.3,12.8,5.8,"Limestone County, Alabama",11.8,4.4,17.7,"Limestone County, Alabama",47690,82782,0.5760914208402793,FALSE,"Limestone County, Alabama",21031,34977,0.6012808416959716,FALSE
1085,Alabama,AL,Lowndes,0.26196888090963494,1751,6684,"Lowndes County, Alabama",19491,"Lowndes County, Alabama",14.1,"Lowndes County, Alabama",47.2,74.8,0.7,10236,6.2,6.2,6.5,5.7,6.5,12.3,10.7,13.6,8,6.5,10.2,5.8,1.9,18.9,12.2,14.5,7.699999999999999,"Lowndes County, Alabama",12.1,6,21.2,"Lowndes County, Alabama",11299,11299,1,FALSE,"Lowndes County, Alabama",5140,5140,1,FALSE
1087,Alabama,AL,Macon,0.15656455142231948,1431,9140,"Macon County, Alabama",20125,"Macon County, Alabama",20.7,"Macon County, Alabama",46.1,82.7,1.7,19054,4.9,4.7,5,9.8,11.9,10.8,9.2,11.4,6.8,6.9,11.3,5.2,2.1,14.600000000000001,21.700000000000003,13.7,7.300000000000001,"Macon County, Alabama",11.2,3.3,34.6,"Macon County, Alabama",11916,21452,0.5554726831997017,FALSE,"Macon County, Alabama",5848,10259,0.570036065893362,FALSE
1089,Alabama,AL,Madison,0.5478949011255347,89520,163389,"Madison County, Alabama",35526,"Madison County, Alabama",41.7,"Madison County, Alabama",48.8,25.6,4.8,357560,5.8,6.1,6.3,6.7,6.9,13.8,12.1,14.5,7.5,5.9,8.3,4.5,1.6,18.2,13.600000000000001,13.4,6.1,"Madison County, Alabama",10.8,3.1,21.1,"Madison County, Alabama",55048,334811,0.1644151476504655,FALSE,"Madison County, Alabama",23075,146447,0.15756553565453713,FALSE
1091,Alabama,AL,Marengo,0.47598690194651627,5233,10994,"Marengo County, Alabama",23056,"Marengo County, Alabama",15.4,"Marengo County, Alabama",48.3,53.9,0.6,19538,5,6.3,7.5,7.4,4.6,11.5,11.8,13,6.5,7.5,10.5,6.6,1.8,18.8,12,14,8.4,"Marengo County, Alabama",11.7,8.7,23.7,"Marengo County, Alabama",14575,21027,0.6931564179388405,FALSE,"Marengo County, Alabama",7308,10237,0.7138810198300283,FALSE
1093,Alabama,AL,Marion,0.8682994454713494,11274,12984,"Marion County, Alabama",21391,"Marion County, Alabama",13.1,"Marion County, Alabama",49.7,4.7,2.5,29965,5.1,5.3,6.6,6.3,5.4,11,11.6,14.2,6.8,6.9,11.7,6.7,2.3,17,11.7,13.7,9,"Marion County, Alabama",12.7,5.5,22.3,"Marion County, Alabama",27346,30776,0.8885495191057967,FALSE,"Marion County, Alabama",13128,14737,0.8908190269389971,FALSE
1095,Alabama,AL,Marshall,0.8277551251557368,29233,35316,"Marshall County, Alabama",23833,"Marshall County, Alabama",19.2,"Marshall County, Alabama",49.4,3,13.6,95145,6.9,6.5,7.3,6.5,5.9,12.3,12.2,13.1,6.3,6.3,9.9,5.3,1.6,20.7,12.4,12.6,6.9,"Marshall County, Alabama",11.7,5.4,19.3,"Marshall County, Alabama",49550,93019,0.532686870424322,FALSE,"Marshall County, Alabama",22306,40342,0.5529225125179713,FALSE
1097,Alabama,AL,Mobile,0.5506405691889983,95116,172737,"Mobile County, Alabama",25215,"Mobile County, Alabama",22.9,"Mobile County, Alabama",47.7,36.4,2.9,414659,6.5,6.4,6.8,6.5,6.9,13.8,12,12.7,6.8,6.4,9.2,4.5,1.7,19.7,13.4,13.2,6.2,"Mobile County, Alabama",12.4,5.6,23.4,"Mobile County, Alabama",82682,412992,0.20020242522857587,TRUE,"Mobile County, Alabama",34419,178196,0.19315248378190308,TRUE
1099,Alabama,AL,Monroe,0.564209911401032,5795,10271,"Monroe County, Alabama",18890,"Monroe County, Alabama",14.1,"Monroe County, Alabama",47.6,42.6,1.4,21512,5.9,6.2,6.3,6.7,6.2,10.4,11.3,13.4,7.5,7.1,10.9,5.3,2.7,18.400000000000002,12.9,14.6,8,"Monroe County, Alabama",14.8,5,23.3,"Monroe County, Alabama",18234,23068,0.7904456389804058,FALSE,"Monroe County, Alabama",9037,11333,0.7974058060531192,FALSE
1101,Alabama,AL,Montgomery,0.35464861594943575,34003,95878,"Montgomery County, Alabama",28008,"Montgomery County, Alabama",32.1,"Montgomery County, Alabama",47.3,58.6,3.4,226941,6.7,6.8,6.2,6.6,7.5,14.5,12.6,12.4,6.6,5.9,8.2,4.5,1.5,19.7,14.1,12.5,6,"Montgomery County, Alabama",11.7,4.1,21.9,"Montgomery County, Alabama",24063,229363,0.10491230058902264,FALSE,"Montgomery County, Alabama",10564,101641,0.1039344359067699,FALSE
1103,Alabama,AL,Morgan,0.7401863991785799,37486,50644,"Morgan County, Alabama",25907,"Morgan County, Alabama",21.7,"Morgan County, Alabama",49.2,13.4,8.1,119122,5.9,6.9,6,6.4,5.7,12.3,12.6,14,7,6.5,9.8,5.1,1.9,18.8,12.100000000000001,13.5,7,"Morgan County, Alabama",12.9,4.1,20.3,"Morgan County, Alabama",46120,119490,0.3859737216503473,FALSE,"Morgan County, Alabama",19577,51193,0.3824155646279765,FALSE
1105,Alabama,AL,Perry,0.26657824933687,1407,5278,"Perry County, Alabama",13678,"Perry County, Alabama",15.7,"Perry County, Alabama",46.8,69.4,0.9,9486,5.4,3.9,8.4,10.6,10.4,6.7,13.7,9.3,6.6,6.5,11.1,5.3,2.3,17.700000000000003,21,13.1,7.6,"Perry County, Alabama",7.9,7.9,33.5,"Perry County, Alabama",10591,10591,1,FALSE,"Perry County, Alabama",4737,4737,1,FALSE
1107,Alabama,AL,Pickens,0.5717878851393837,5456,9542,"Pickens County, Alabama",22417,"Pickens County, Alabama",13.5,"Pickens County, Alabama",47.8,42,4.6,20298,5.1,4.9,5.8,6.4,6,13,11.7,14.8,7.6,6.3,10.5,5.3,2.6,15.8,12.4,13.899999999999999,7.9,"Pickens County, Alabama",12.3,7,22.4,"Pickens County, Alabama",19746,19746,1,FALSE,"Pickens County, Alabama",9483,9483,1,FALSE
1109,Alabama,AL,Pike,0.5842193195625759,7693,13168,"Pike County, Alabama",21137,"Pike County, Alabama",23.6,"Pike County, Alabama",48,39.7,0.8,33403,5.6,5.3,5.5,8.6,17.4,11.9,10,10.3,5.7,5.1,8.4,4.7,1.5,16.4,26,10.8,6.2,"Pike County, Alabama",13.6,5.2,23.2,"Pike County, Alabama",17002,32899,0.5167938235204718,FALSE,"Pike County, Alabama",8398,15267,0.5500753258662474,FALSE
